Name,Canton,Population
Mont-sur-Rolle,Vaud,2654
Broc,Fribourg,2651
Riva San Vitale,Ticino,2646
Lenzerheide,Graubunden,2641
Nebikon,Luzern,2635
Bioggio,Ticino,2626
Hauterive,Neuchatel,2623
Felsberg,Graubunden,2622
Saillon,Valais,2618
Rapperswil,Bern,2617
Lauperswil,Bern,2615
Courtetelle,Jura,2610
Saignelegier,Jura,2608
La Sarraz,Vaud,2595
Lonay,Vaud,2592
Maggia,Ticino,2592
Buchegg,Solothurn,2580
Froideville,Vaud,2579
Saint-Cergue,Vaud,2575
Endingen,Aargau,2574
Neyruz,Fribourg,2566
Lotzwil,Bern,2565
Ringgenberg,Bern,2561
Zunzgen,Basel-Landschaft,2560
Inwil,Luzern,2557
Ottenbach,Zurich,2556
Riggisberg,Bern,2553
Affeltrangen,Thurgau,2551
Kemmen,Thurgau,2545
Buron,Luzern,2540
Wimmis,Bern,2538
Bonigen,Bern,2535
Holstein,Basel-Landschaft,2528
Roveredo,Graubunden,2520
Wilen,Sankt Gallen,2520
Untervaz,Graubunden,2517
Toffen,Bern,2509
Fischenthal,Zurich,2504
Troinex,Geneve,2501
Corcelles-pres-Payerne,Vaud,2480
Hohenrain,Luzern,2474
Puplinge,Geneve,2465
Oetwil an der Limmat,Zurich,2464
Meikirch,Bern,2461
Wigoltingen,Thurgau,2457
Saint-Leonard,Valais,2442
Eggiwil,Bern,2438
Oberdorf,Basel-Landschaft,2434
Thierachern,Bern,2428
Hagglingen,Aargau,2422
Grone,Valais,2414
Rothenthurm,Schwyz,2412
Vuadens,Fribourg,2405
Anieres,Geneve,2402
Zwingen,Basel-Landschaft,2399
Saint-Aubin-Sauges,Neuchatel,2399
Ruthi,Sankt Gallen,2399
Unteriberg,Schwyz,2395
Ruderswil,Bern,2383
Novazzano,Ticino,2380
Malans,Graubunden,2378
Wiedlisbach,Bern,2377
Freienstein,Zurich,2376
Ueberstorf,Fribourg,2375
Lufingen,Zurich,2373
Krauchthal,Bern,2365
Pfeffingen,Basel-Landschaft,2336
Hildisrieden,Luzern,2333
Gersau,Schwyz,2332
Courgenay,Jura,2329
Vuisternens-devant-Romont,Fribourg,2324
Reconvilier,Bern,2317
Urnasch,Appenzell Ausserrhoden,2315
Martigny-Combe,Valais,2314
Wangen an der Aare,Bern,2311
Riedholz,Solothurn,2310
Zeiningen,Aargau,2310
Knonau,Zurich,2301
Bardonnex,Geneve,2299
Busserach,Solothurn,2296
Oberbuchsiten,Solothurn,2296
Eiken,Aargau,2289
Neunkirch,Schaffhausen,2289
Worben,Bern,2286
Corseaux,Vaud,2282
Udligenswil,Luzern,2280
Wolfwil,Solothurn,2272
Stadel bei Niederglatt,Zurich,2271
Henggart,Zurich,2256
Neuheim,Zug,2255
Schinznach Dorf,Aargau,2255
Canobbio,Ticino,2249
Diemtigen,Bern,2248
Wauwil,Luzern,2247
Sankt Niklaus,Valais,2239
Chexbres,Vaud,2238
Gimel,Vaud,2238
Siviriez,Fribourg,2238
Neuendorf,Solothurn,2236
Knutwil,Luzern,2229
Dintikon,Aargau,2228
Bottighofen,Thurgau,2226
Cazis,Graubunden,2223
Hallau,Schaffhausen,2220
Ormalingen,Basel-Landschaft,2215
Savosa,Ticino,2213
Altnau,Thurgau,2208
Deitingen,Solothurn,2207
Obergosgen,Solothurn,2203
Stetten,Aargau,2201
Andelfingen,Zurich,2201
Gruyeres,Fribourg,2199
Ennetmoos,Nidwalden,2193
Gontenschwil,Aargau,2171
Leuggern,Aargau,2169
Pontresina,Graubunden,2162
Castel San Pietro,Ticino,2159
Aegerten,Bern,2158
Itingen,Basel-Landschaft,2157
Auw,Aargau,2157
Seftigen,Bern,2143
Fahrwangen,Aargau,2136
Meinier,Geneve,2131
Villigen,Aargau,2126
Werthenstein,Luzern,2121
Lungern,Obwalden,2119
Magenwil,Appenzell Ausserrhoden,2110
Corsier,Geneve,2108
Jonen,Aargau,2108
Marbach,Sankt Gallen,2105
Wolfenschiessen,Nidwalden,2097
Koppigen,Bern,2095
Mies,Vaud,2078
Forel,Vaud,2078
Kleinandelfingen,Zurich,2077
Sankt Antoni,Fribourg,2076
Grusch,Graubunden,2076
Killwangen,Aargau,2074
Ersigen,Bern,2066
Wynigen,Bern,2060
Oberlunkhofen,Aargau,2037
Zell,Luzern,2037
Comano,Ticino,2035
Alterswil,Fribourg,2028
Gorgier,Neuchatel,2021
Volleges,Valais,2018
Brutten,Zurich,2016
Pfyn,Thurgau,2016
Andwil,Sankt Gallen,2014
Recherswil,Solothurn,2009
Remetschwil,Aargau,1991
Silenen,Uri,1991
Aeugst am Albis,Zurich,1982
Flueln,Uri,1972
Walzenhausen,Appenzell Ausserrhoden,1971
Wila,Zurich,1971
Barbengo,Ticino,1970
Fluhli,Luzern,1961
Vordemwald,Aargau,1954
Begnins,Vaud,1950
Marthalen,Zurich,1949
Churwalden,Graubunden,1949
Servion,Vaud,1944
Raron,Valais,1944
Sattel,Schwyz,1938
Genolier,Vaud,1937
Tolochenaz,Vaud,1932
Dachsen,Zurich,1931
Hochfelden,Zurich,1927
Avry-sur-Matran,Fribourg,1921
Grolley,Fribourg,1920
Winznau,Solothurn,1919
Kallnach,Bern,1918
Oberegg,Appenzell Innerrhoden,1916
Vezia,Ticino,1914
Marsens,Fribourg,1909
Ponte Capriasca,Ticino,1904
Malleray,Bern,1903
Cressier,Neuchatel,1886
Vernayaz,Valais,1885
Nunningen,Solothurn,1880
Lichtensteig,Sankt Gallen,1870
Danikon,Zurich,1869
Waldstatt,Appenzell Ausserrhoden,1869
Dardagny,Geneve,1864
Roschenz,Basel-Landschaft,1863
Seedorf,Uri,1858
Uttwil,Thurgau,1857
Laax,Graubunden,1857
Charrat,Valais,1849
Alle,Jura,1849
Le Noirmont,Jura,1847
Grellingen,Basel-Landschaft,1845
Dallenwil,Nidwalden,1845
Kirchdorf,Bern,1844
Schonenberg,Zurich,1844
Arni,Aargau,1843
Wolfhalden,Appenzell Ausserrhoden,1837
Veyras,Valais,1833
Pont-en-Ogoz,Fribourg,1824
Laupersdorf,Solothurn,1813
Biglen,Bern,1811
Vex,Valais,1811
Acquarossa,Ticino,1808
Kestenholz,Solothurn,1805
Melide,Ticino,1802
Saint-Aubin,Fribourg,1801
Buhler,Appenzell Ausserrhoden,1798
Oberweningen,Zurich,1797
Niederdorf,Basel-Landschaft,1795
Rueggisberg,Bern,1791
Massongex,Valais,1785
Amden,Sankt Gallen,1782
Fulenbach,Solothurn,1776
Sorengo,Ticino,1774
Brissago,Ticino,1773
Romerswil,Luzern,1769
Oberbipp,Bern,1767
Walkringen,Bern,1767
Avully,Geneve,1756
Cugy,Fribourg,1752
Weiach,Zurich,1750
Penthaz,Vaud,1749
Kunten,Aargau,1749
Rehetobel,Appenzell Ausserrhoden,1747
Erlenbach im Simmental,Bern,1744
Eschenz,Thurgau,1743
Hasle,Luzern,1743
Lamone,Ticino,1741
Wilchingen,Schaffhausen,1737
Trogen,Appenzell Ausserrhoden,1735
Lengwil,Thurgau,1734
Huttwilen,Thurgau,1729
Attinghausen,Uri,1725
Weesen,Sankt Gallen,1723
Oberdorf,Solothurn,1723
Starrkirch,Solothurn,1714
La Roche,Fribourg,1711
Schwarzenberg,Luzern,1709
Corgemont,Bern,1706
Wagenhausen,Thurgau,1694
Bellmund,Bern,1689
Chancy,Geneve,1686
Fontenais,Jura,1685
Evolene,Valais,1684
Schleitheim,Schaffhausen,1681
Teufenthal,Aargau,1672
Niederonz,Bern,1670
Langwiesen,Zurich,1669
Ruschegg,Bern,1661
Koblenz,Aargau,1656
Diegten,Basel-Landschaft,1656
Gunzgen,Solothurn,1652
Brislach,Basel-Landschaft,1652
Roche,Vaud,1647
Harkingen,Solothurn,1644
Arisdorf,Basel-Landschaft,1638
Giffers,Fribourg,1634
Villnachern,Aargau,1632
Cudrefin,Vaud,1632
Wynau,Bern,1629
